department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
R&D,22,Masters & above,m,other,2,27,4.0,5,0,0,86
Operations,22,Masters & above,m,sourcing,1,44,3.0,10,0,0,55
Technology,24,Masters & above,f,other,1,37,3.0,10,0,0,81
Procurement,7,Masters & above,m,other,1,48,4.0,8,0,0,72
Sales & Marketing,25,Bachelors,f,other,1,31,3.0,6,1,0,43
Finance,22,Bachelors,f,other,1,28,5.0,5,1,0,60
Procurement,13,Masters & above,f,other,1,34,3.0,4,0,0,69
Sales & Marketing,14,Bachelors,f,sourcing,1,44,1.0,4,0,0,47
Sales & Marketing,12,Bachelors,m,sourcing,1,27,5.0,2,0,0,50
Operations,22,Masters & above,m,referred,1,45,3.0,4,1,0,57
Sales & Marketing,13,Bachelors,m,sourcing,1,24,4.0,2,0,0,48
Analytics,29,Bachelors,m,other,1,37,5.0,4,0,0,82
Sales & Marketing,2,Masters & above,f,other,1,31,1.0,2,1,0,53
Sales & Marketing,7,Masters & above,m,sourcing,3,38,3.0,5,0,0,49
Procurement,22,Bachelors,m,other,1,32,5.0,2,1,0,72
Analytics,19,Bachelors,m,other,1,29,3.0,4,0,0,84
Sales & Marketing,15,Bachelors,m,other,1,37,4.0,9,0,0,50
Operations,13,Bachelors,m,other,2,42,3.0,12,0,0,60
R&D,22,Masters & above,m,sourcing,2,32,5.0,5,1,0,88
Operations,13,Bachelors,m,other,1,45,3.0,3,0,0,60
Analytics,29,Bachelors,m,other,1,28,3.0,7,0,0,83
Technology,15,Masters & above,m,sourcing,1,35,1.0,9,0,0,81
Sales & Marketing,4,Bachelors,m,other,3,28,3.0,5,0,0,48
Operations,8,Bachelors,f,other,1,37,1.0,3,1,0,59
Analytics,4,Masters & above,m,other,1,38,4.0,7,1,0,88
Procurement,2,Bachelors,f,sourcing,1,31,1.0,6,0,0,68
Operations,2,Masters & above,m,other,2,43,3.0,2,0,0,69
Operations,23,Bachelors,m,other,1,32,3.0,2,1,0,62
Procurement,2,Below Secondary,m,sourcing,1,24,4.0,2,1,0,69
Operations,2,Masters & above,m,other,1,52,5.0,8,0,0,59
Technology,13,Masters & above,m,other,1,38,5.0,2,0,0,88
Finance,20,Bachelors,m,other,1,35,3.0,4,0,0,59
Technology,31,Masters & above,m,other,1,39,5.0,4,0,1,81
Procurement,7,Bachelors,m,other,1,31,3.0,5,1,0,65
Operations,27,Bachelors,m,sourcing,1,37,3.0,5,0,0,57
Operations,30,Masters & above,f,other,1,37,5.0,9,1,0,56
Analytics,16,Bachelors,m,other,2,31,3.0,5,1,0,81
Analytics,22,Bachelors,m,sourcing,1,28,5.0,4,1,0,85
Technology,15,Bachelors,m,other,1,26,3.0,3,0,0,77
Finance,2,Masters & above,m,other,1,49,4.0,7,1,0,62
Procurement,13,Bachelors,f,other,1,34,3.0,9,0,0,68
Finance,4,Masters & above,f,other,1,38,3.0,2,0,0,58
Sales & Marketing,13,Masters & above,m,other,1,52,4.0,4,1,0,51
Sales & Marketing,22,Bachelors,m,sourcing,3,31,1.0,7,1,0,50
Technology,2,Bachelors,f,other,1,24,1.0,2,0,0,82
HR,7,Bachelors,m,other,1,31,2.0,5,0,0,66
Technology,26,Bachelors,f,other,1,43,1.0,4,1,0,86
Procurement,4,Masters & above,m,other,4,37,3.0,6,0,0,68
HR,2,Masters & above,m,other,1,37,5.0,9,1,0,53
Operations,29,Bachelors,m,other,1,32,5.0,8,1,0,58
Sales & Marketing,26,Bachelors,f,other,1,30,4.0,2,0,0,53
Procurement,20,Bachelors,f,other,1,30,5.0,4,1,0,71
Sales & Marketing,7,Bachelors,m,sourcing,1,27,4.0,3,0,0,50
Sales & Marketing,2,Bachelors,m,other,2,36,4.0,8,0,0,45
Technology,9,Bachelors,m,sourcing,4,30,3.0,2,0,0,78
Procurement,2,Masters & above,m,sourcing,1,49,4.0,19,0,0,73
Sales & Marketing,10,Masters & above,m,other,1,38,5.0,5,0,0,63
Sales & Marketing,30,Bachelors,m,other,1,29,3.0,6,0,0,51
Technology,33,Bachelors,m,other,1,48,3.0,6,1,0,81
Analytics,2,Masters & above,m,other,1,59,4.0,13,0,0,82
Operations,7,Bachelors,f,other,1,36,5.0,5,1,0,62
Finance,13,Bachelors,m,other,1,28,3.0,3,0,0,59
Procurement,22,Bachelors,m,other,2,27,4.0,2,1,0,68
Operations,2,Bachelors,m,sourcing,1,25,3.0,2,0,0,62
Sales & Marketing,26,Bachelors,m,other,1,30,5.0,6,1,0,52
Sales & Marketing,2,Bachelors,m,other,1,38,4.0,5,1,0,48
HR,2,Bachelors,f,other,1,53,4.0,21,0,0,53
Sales & Marketing,8,Masters & above,m,other,1,35,3.0,8,0,0,45
HR,2,Bachelors,m,other,1,45,3.0,14,1,0,53
Operations,32,Bachelors,m,other,1,39,3.0,8,0,0,58
Analytics,13,Bachelors,m,other,1,46,4.0,6,0,0,82
Technology,5,Bachelors,m,sourcing,2,29,3.0,3,0,0,79
Technology,15,Bachelors,f,other,1,34,4.0,6,1,0,82
Sales & Marketing,14,Bachelors,m,other,1,38,5.0,3,0,0,51
HR,22,Masters & above,m,sourcing,1,32,3.0,5,0,0,52
Operations,26,Bachelors,m,other,1,33,3.0,5,1,0,58
Procurement,2,Bachelors,f,other,1,39,4.0,9,0,0,70
Procurement,4,Masters & above,m,other,4,36,3.0,6,0,0,71
Operations,22,Bachelors,m,sourcing,2,33,4.0,4,0,0,59
Sales & Marketing,2,Bachelors,f,other,1,29,4.0,6,1,0,45
R&D,7,Bachelors,f,other,1,32,3.0,5,0,0,85
Sales & Marketing,28,Bachelors,f,sourcing,1,26,3.0,2,1,0,46
Analytics,32,Bachelors,m,sourcing,1,38,3.0,3,0,0,82
Procurement,22,Masters & above,m,sourcing,1,42,2.0,15,0,0,70
Operations,32,Bachelors,f,sourcing,1,30,5.0,6,0,0,60
Sales & Marketing,14,Bachelors,m,other,1,36,4.0,6,0,0,47
Procurement,2,Bachelors,f,other,1,56,5.0,6,0,0,84
Sales & Marketing,14,Bachelors,f,other,1,30,3.0,5,0,0,51
HR,7,Bachelors,f,other,1,29,5.0,6,1,0,49
Sales & Marketing,7,Bachelors,m,other,1,36,2.0,7,0,0,47
Technology,14,Bachelors,f,other,1,39,3.0,4,0,0,80
Analytics,26,Bachelors,m,sourcing,1,30,5.0,4,1,0,84
R&D,2,Bachelors,m,other,2,42,3.0,9,0,0,84
Sales & Marketing,26,Bachelors,m,sourcing,2,37,4.0,9,0,0,49
Procurement,22,Bachelors,m,sourcing,1,31,2.0,2,1,0,66
Sales & Marketing,28,Masters & above,m,sourcing,1,32,4.0,6,1,0,48
Operations,15,Masters & above,m,other,1,40,5.0,11,1,0,59
Finance,2,Bachelors,m,sourcing,2,39,5.0,10,1,0,58
Sales & Marketing,26,Bachelors,m,other,1,40,4.0,10,1,0,47
HR,22,Bachelors,m,sourcing,1,23,1.0,2,0,0,45
Sales & Marketing,7,Bachelors,m,other,1,37,2.0,4,0,0,51
Operations,2,Bachelors,m,sourcing,1,37,3.0,9,0,0,61
Legal,22,Bachelors,m,referred,1,29,5.0,3,1,0,54
Operations,32,Bachelors,f,other,1,38,4.0,10,0,0,55
Operations,22,Bachelors,m,other,2,39,4.0,10,0,0,57
Sales & Marketing,22,Masters & above,m,other,2,38,5.0,7,1,0,48
Procurement,13,Bachelors,m,sourcing,1,34,3.0,4,0,0,69
Procurement,15,Bachelors,f,other,1,48,5.0,21,0,0,69
R&D,26,Masters & above,m,other,1,29,5.0,4,0,0,82
Technology,13,Masters & above,f,other,1,37,4.0,7,1,0,81
Operations,2,Bachelors,f,other,1,47,5.0,2,1,0,63
Sales & Marketing,14,Bachelors,m,sourcing,1,31,1.0,3,0,0,50
Analytics,16,Bachelors,m,other,1,28,3.0,4,0,0,83
Finance,28,Masters & above,f,other,2,32,4.0,6,1,0,57
Procurement,27,Bachelors,f,other,1,33,2.0,4,1,0,71
Operations,6,Bachelors,m,sourcing,1,34,3.0,10,0,0,67
Sales & Marketing,7,Bachelors,m,sourcing,1,38,5.0,3,1,0,52
Technology,33,Bachelors,m,other,1,28,4.0,5,0,0,79
Analytics,24,Masters & above,m,other,1,34,3.0,3,0,0,87
Procurement,2,Bachelors,m,other,1,44,2.0,16,0,0,70
Procurement,20,Bachelors,m,sourcing,1,28,3.0,4,0,0,69
Operations,27,Bachelors,f,other,1,31,1.0,5,1,0,61
Analytics,29,Bachelors,m,other,1,34,2.0,5,0,0,84
Procurement,2,Below Secondary,m,other,1,22,3.0,2,1,0,71
Procurement,11,Bachelors,f,other,1,32,3.0,7,1,0,66
Technology,2,Masters & above,f,other,1,43,3.0,6,1,0,80
Analytics,2,Masters & above,f,other,1,42,5.0,13,1,0,85
HR,7,Bachelors,m,other,1,41,3.0,8,1,0,54
Technology,11,Bachelors,f,other,1,27,3.0,2,0,0,84
Finance,2,Bachelors,m,sourcing,1,41,4.0,9,0,0,56
Technology,23,Bachelors,m,other,1,26,5.0,2,1,0,76
Analytics,34,Bachelors,m,other,1,35,5.0,10,1,0,85
Sales & Marketing,28,Bachelors,f,sourcing,1,28,1.0,3,0,0,58
HR,2,Bachelors,f,sourcing,1,50,1.0,9,0,0,46
Sales & Marketing,7,Masters & above,m,other,2,37,1.0,10,0,0,49
Operations,4,Bachelors,m,other,2,35,3.0,8,1,0,64
Sales & Marketing,28,Masters & above,f,other,1,29,4.0,4,0,0,51
Sales & Marketing,6,Bachelors,f,sourcing,1,36,5.0,8,0,0,47
Finance,2,Bachelors,m,other,1,36,3.0,3,0,0,55
Operations,22,Bachelors,f,other,2,37,4.0,2,0,0,71
Analytics,29,Bachelors,m,other,1,30,3.0,4,0,0,83
Finance,2,Bachelors,m,sourcing,2,26,2.0,2,0,0,54
Procurement,13,Bachelors,f,sourcing,2,28,5.0,3,1,0,68
Operations,15,Bachelors,m,other,1,49,4.0,9,0,0,61
Procurement,21,Masters & above,m,other,1,35,5.0,7,1,0,70
Technology,24,Bachelors,m,other,1,32,2.0,6,0,0,90
Sales & Marketing,28,Masters & above,f,sourcing,1,42,3.0,4,0,0,54
Technology,4,Masters & above,m,other,1,37,4.0,5,0,0,76
Sales & Marketing,29,Bachelors,m,other,1,28,5.0,2,0,0,45
Procurement,15,Bachelors,m,other,1,38,4.0,2,1,1,97
Analytics,2,Bachelors,m,sourcing,2,39,4.0,5,1,0,86
Analytics,27,Bachelors,m,other,1,28,5.0,2,1,0,87
Operations,14,Bachelors,m,other,2,34,3.0,10,0,0,60
Operations,22,Bachelors,f,other,1,37,3.0,3,0,0,63
Sales & Marketing,2,Masters & above,f,sourcing,2,38,1.0,6,0,0,51
Finance,2,Bachelors,f,sourcing,1,24,5.0,2,1,0,57
Sales & Marketing,11,Masters & above,m,other,1,36,3.0,7,0,0,52
Procurement,2,Bachelors,m,other,1,41,2.0,15,0,0,70
Technology,2,Masters & above,f,sourcing,2,59,1.0,15,0,0,76
Sales & Marketing,12,Bachelors,f,sourcing,1,29,3.0,1,0,0,48
Operations,22,Bachelors,f,other,1,29,5.0,3,0,0,57
Sales & Marketing,13,Bachelors,f,sourcing,3,31,1.0,5,0,0,51
Sales & Marketing,28,Bachelors,m,sourcing,1,31,5.0,7,0,0,51
Sales & Marketing,25,Bachelors,f,sourcing,1,31,4.0,3,0,0,50
Sales & Marketing,26,Bachelors,m,other,1,32,3.0,4,1,0,47
Procurement,26,Bachelors,f,other,1,49,4.0,8,0,0,68
Operations,2,Masters & above,m,other,1,42,5.0,11,0,0,59
Sales & Marketing,11,Bachelors,m,other,1,32,5.0,7,1,0,49
Analytics,11,Bachelors,m,other,1,30,3.0,4,0,0,80
Analytics,4,Bachelors,m,other,1,32,5.0,8,0,0,86
Procurement,1,Bachelors,f,sourcing,2,29,1.0,2,0,0,74
Sales & Marketing,2,Bachelors,m,sourcing,2,31,1.0,6,0,0,50
Operations,34,Bachelors,m,other,1,30,3.0,2,1,0,58
Operations,2,Bachelors,f,sourcing,1,48,4.0,8,1,0,60
Sales & Marketing,2,Bachelors,m,sourcing,1,39,5.0,12,0,0,50
Analytics,23,Masters & above,m,sourcing,1,35,2.0,7,1,0,87
Technology,2,Bachelors,f,other,1,47,4.0,7,0,0,78
Sales & Marketing,31,Masters & above,m,other,1,46,5.0,3,1,0,51
Procurement,31,Masters & above,f,other,1,37,3.0,2,1,1,97
Operations,19,Bachelors,m,other,1,26,5.0,6,1,0,60
Technology,6,Bachelors,f,sourcing,1,31,5.0,4,1,0,87
Procurement,20,Bachelors,f,other,1,28,2.0,4,0,0,69
Operations,4,Masters & above,f,sourcing,2,36,1.0,6,1,1,65
Technology,24,Masters & above,f,other,1,35,1.0,7,0,0,80
Analytics,13,Bachelors,m,sourcing,1,34,4.0,9,0,0,84
Analytics,2,Masters & above,m,sourcing,2,58,5.0,6,1,0,81
Sales & Marketing,22,Masters & above,m,sourcing,1,29,2.0,5,1,0,50
Operations,13,Bachelors,m,other,1,36,2.0,9,0,0,59
R&D,2,Bachelors,m,sourcing,1,30,1.0,4,0,0,84
HR,2,Masters & above,f,other,1,40,3.0,10,0,0,49
Procurement,15,Bachelors,m,other,1,38,3.0,4,1,0,71
Sales & Marketing,11,Bachelors,m,other,1,36,2.0,5,0,0,52
Sales & Marketing,2,Bachelors,m,other,1,41,4.0,9,0,0,49
Procurement,22,Masters & above,m,other,1,33,5.0,5,1,0,66
Technology,31,Bachelors,m,sourcing,1,29,1.0,4,0,0,79
Operations,22,Masters & above,f,other,1,33,4.0,8,1,0,81
Sales & Marketing,7,Masters & above,f,other,1,41,1.0,2,0,0,47
Procurement,2,Masters & above,m,other,2,41,3.0,10,0,0,67
Operations,13,Masters & above,m,other,1,41,3.0,4,0,0,60
Technology,7,Bachelors,f,other,1,28,4.0,5,1,0,76
Sales & Marketing,7,Masters & above,f,sourcing,1,32,5.0,7,1,0,53
Technology,8,Bachelors,m,other,1,25,3.0,3,0,0,77
Technology,13,Below Secondary,f,sourcing,1,24,2.0,2,0,0,85
Sales & Marketing,7,Bachelors,m,other,1,53,4.0,10,1,0,45
Sales & Marketing,25,Masters & above,m,sourcing,1,38,5.0,12,1,0,49
Legal,22,Bachelors,m,sourcing,1,31,3.0,3,0,0,62
Sales & Marketing,2,Bachelors,f,other,2,51,3.0,17,0,0,52
Operations,14,Masters & above,m,sourcing,1,42,3.0,4,0,0,59
Operations,2,Masters & above,m,other,1,56,5.0,16,1,0,59
Sales & Marketing,4,Bachelors,m,other,1,48,4.0,9,0,0,46
Procurement,2,Masters & above,m,sourcing,1,56,3.0,2,1,0,65
R&D,26,Bachelors,m,other,1,31,4.0,6,0,0,84
Procurement,22,Masters & above,m,sourcing,2,33,3.0,3,0,0,72
Technology,7,Masters & above,m,referred,1,36,4.0,4,1,0,80
Procurement,11,Masters & above,f,other,1,38,5.0,4,1,0,70
Procurement,5,Bachelors,m,other,1,36,2.0,4,0,0,64
Sales & Marketing,2,Bachelors,f,sourcing,1,50,4.0,21,1,0,49
Sales & Marketing,14,Bachelors,m,sourcing,1,40,1.0,3,0,0,47
Finance,28,Below Secondary,f,other,1,26,1.0,2,1,0,54
Operations,20,Bachelors,m,sourcing,1,27,3.0,3,0,0,58
Sales & Marketing,27,Masters & above,m,other,1,54,5.0,21,0,0,53
Finance,26,Bachelors,f,other,1,29,4.0,7,0,0,67
Procurement,2,Bachelors,m,sourcing,3,31,4.0,4,0,0,67
Technology,2,Masters & above,m,other,2,45,5.0,15,0,0,75
Procurement,22,Masters & above,m,other,1,39,3.0,5,0,0,70
Sales & Marketing,22,Bachelors,m,other,1,28,5.0,2,0,0,51
Sales & Marketing,30,Bachelors,m,other,1,42,3.0,4,0,0,51
Operations,7,Bachelors,m,other,1,33,4.0,3,0,0,58
Sales & Marketing,15,Bachelors,m,sourcing,1,33,3.0,4,0,0,52
Finance,2,Bachelors,m,sourcing,1,25,5.0,2,0,0,57
Operations,31,Bachelors,m,other,1,29,3.0,2,0,0,57
Technology,27,Bachelors,m,other,1,28,5.0,2,0,1,95
Procurement,13,Masters & above,m,other,1,33,4.0,3,1,0,70
HR,15,Bachelors,m,sourcing,1,32,3.0,6,0,0,52
Operations,20,Masters & above,f,other,1,32,3.0,5,0,0,57
Analytics,2,Bachelors,m,other,1,37,3.0,4,1,0,81
Sales & Marketing,31,Bachelors,m,other,1,35,5.0,8,0,0,50
Procurement,1,Bachelors,m,other,3,28,3.0,2,0,0,70
Analytics,31,Bachelors,m,other,1,39,3.0,10,0,0,86
Operations,27,Masters & above,m,other,1,40,4.0,11,0,0,59
Sales & Marketing,2,Masters & above,m,other,2,36,4.0,9,1,0,47
Technology,26,Bachelors,m,other,1,36,3.0,11,0,0,82
Analytics,26,Bachelors,m,other,1,30,2.0,5,0,0,88
Legal,13,Bachelors,m,sourcing,1,43,3.0,9,0,0,59
Operations,4,Bachelors,f,sourcing,1,39,2.0,11,0,0,70
Operations,7,Masters & above,f,other,3,32,4.0,6,0,0,62
Operations,15,Bachelors,m,other,1,43,4.0,11,1,0,58
Operations,2,Bachelors,f,sourcing,1,34,4.0,6,1,0,60
Sales & Marketing,22,Bachelors,m,other,1,47,4.0,9,0,0,52
Analytics,4,Masters & above,m,other,1,38,1.0,9,1,1,85
Operations,30,Bachelors,f,sourcing,1,30,3.0,6,0,0,58
Sales & Marketing,27,Bachelors,f,other,1,29,3.0,3,0,0,47
Procurement,16,Bachelors,m,other,1,36,3.0,9,0,0,66
Operations,22,Masters & above,m,other,1,40,5.0,7,0,0,56
Legal,11,Bachelors,m,sourcing,1,33,4.0,3,0,0,60
Operations,22,Bachelors,f,sourcing,1,35,2.0,5,0,0,54
Sales & Marketing,2,Bachelors,m,sourcing,1,23,5.0,2,1,0,54
Finance,22,Bachelors,m,other,3,26,5.0,2,1,0,60
Sales & Marketing,24,Bachelors,m,sourcing,1,38,3.0,8,0,0,48
Analytics,22,Masters & above,m,sourcing,1,38,3.0,10,0,0,90
Technology,15,Bachelors,m,sourcing,1,29,1.0,6,0,0,82
Sales & Marketing,7,Bachelors,f,sourcing,1,41,3.0,4,0,0,51
Procurement,24,Bachelors,m,other,1,29,1.0,1,0,0,72
Sales & Marketing,5,Bachelors,m,sourcing,2,29,1.0,2,0,0,50
Sales & Marketing,9,Masters & above,m,other,1,31,3.0,9,0,0,51
Procurement,17,Masters & above,f,other,1,56,3.0,4,0,0,70
Procurement,22,Masters & above,m,other,1,50,3.0,15,0,0,67
Legal,2,Masters & above,m,sourcing,1,36,5.0,4,1,0,57
Sales & Marketing,13,Bachelors,m,other,1,36,5.0,10,1,0,46
Operations,2,Bachelors,f,sourcing,1,42,5.0,14,1,0,64
Sales & Marketing,4,Bachelors,m,other,1,30,3.0,2,1,0,46
Analytics,6,Bachelors,m,sourcing,1,28,5.0,2,1,0,86
Operations,22,Masters & above,f,sourcing,1,46,3.0,16,0,0,62
Technology,16,Masters & above,f,other,1,55,4.0,14,0,0,75
HR,28,Masters & above,m,sourcing,1,35,5.0,10,1,0,50
Sales & Marketing,2,Bachelors,f,other,1,58,3.0,2,1,1,48
Analytics,28,Masters & above,m,sourcing,1,35,5.0,7,0,0,85
Operations,29,Bachelors,m,other,1,30,1.0,7,0,0,58
Technology,7,Bachelors,m,sourcing,2,27,5.0,4,1,0,82
Analytics,32,Bachelors,f,sourcing,1,29,1.0,4,0,0,87
Analytics,31,Bachelors,m,other,1,34,1.0,3,0,0,87
Sales & Marketing,4,Masters & above,m,other,1,40,3.0,2,1,0,49
Sales & Marketing,26,Masters & above,m,sourcing,1,33,5.0,4,1,0,47
Finance,2,Masters & above,f,other,3,40,3.0,4,0,0,56
Sales & Marketing,15,Bachelors,m,other,1,34,1.0,6,0,0,49
Sales & Marketing,7,Bachelors,m,sourcing,1,28,4.0,6,1,0,47
Sales & Marketing,33,Bachelors,m,sourcing,4,29,3.0,8,0,1,51
Sales & Marketing,14,Bachelors,m,sourcing,1,41,4.0,4,0,0,60
Finance,2,Masters & above,m,sourcing,1,43,5.0,15,0,0,74
Sales & Marketing,13,Masters & above,m,other,1,36,1.0,5,0,0,54
Procurement,16,Bachelors,f,sourcing,1,38,4.0,6,0,0,72
Technology,7,Masters & above,f,other,1,37,4.0,8,0,0,82
Operations,33,Bachelors,m,sourcing,1,35,4.0,8,0,0,59
HR,22,Bachelors,f,referred,1,29,5.0,6,1,0,45
Sales & Marketing,19,Bachelors,m,sourcing,1,42,3.0,3,0,0,57
Technology,31,Masters & above,m,other,1,35,2.0,10,0,0,81
Finance,15,Bachelors,m,other,1,30,5.0,7,1,0,54
Operations,15,Bachelors,m,sourcing,1,33,5.0,6,0,0,63
Sales & Marketing,14,Bachelors,m,sourcing,1,29,4.0,3,0,0,43
Sales & Marketing,28,Bachelors,m,sourcing,1,27,1.0,3,0,0,47
R&D,16,Bachelors,m,other,1,36,3.0,7,1,1,86
Procurement,2,Bachelors,f,other,1,34,5.0,8,1,0,68
Technology,33,Masters & above,m,sourcing,1,40,1.0,4,0,0,80
Sales & Marketing,25,Bachelors,f,other,1,27,4.0,3,0,0,46
Analytics,5,Bachelors,m,other,1,31,5.0,4,0,0,88
Sales & Marketing,25,Masters & above,m,sourcing,1,34,3.0,3,0,0,49
R&D,7,Bachelors,m,other,1,32,3.0,2,1,0,85
Sales & Marketing,2,Bachelors,f,other,1,28,2.0,5,1,1,45
Procurement,10,Masters & above,f,other,1,44,3.0,16,0,0,68
Technology,26,Bachelors,m,sourcing,1,26,5.0,4,1,0,94
Operations,2,Bachelors,f,other,1,27,1.0,2,0,0,64
Operations,31,Bachelors,f,other,1,38,3.0,3,0,0,60
Technology,20,Bachelors,m,sourcing,1,30,4.0,4,0,0,80
Procurement,5,Bachelors,m,sourcing,2,40,3.0,2,1,0,67
Sales & Marketing,2,Masters & above,m,other,1,35,5.0,11,1,0,51
Technology,2,Masters & above,f,other,1,42,4.0,17,0,0,78
R&D,22,Masters & above,m,other,1,39,4.0,9,0,0,84
Sales & Marketing,32,Bachelors,f,other,1,31,4.0,4,0,0,45
